"","Plate","Sample_ID","Treatment","Time","SOD_Absorbance_450nm","TotalProtein_ug","SOD_UmL","SOD_UmL_ng_protein"
"66",2,"T2-HW3",NA,"2",0.2396,24.4169254126034,5.66092446814515,231.844279018976
"67",2,"T2-HW4",NA,"2",0.2194,27.0265417712477,5.22109239562682,193.183887151308
"68",2,"T2-HW4",NA,"2",0.335,27.0265417712477,7.45151764307162,275.711103038678
"69",2,"T2-HW5",NA,"2",0.2814,24.1082966452082,6.50060769347327,269.641932366273
"70",2,"T2-HW5",NA,"2",0.4154,24.1082966452082,8.65013133799027,358.803090292552
"71",2,"T2-HW6",NA,"2",0.2195,32.8930542365628,5.22332743063313,158.797276563848
"72",2,"T2-HW6",NA,"2",0.2837,32.8930542365628,6.54420322075404,198.953954646137
"73",1,"T2-OA1","Control","2",0.6736,36.6473203313605,11.1663700841321,304.698132992185
"74",1,"T2-OA1","Control","2",0.3852,36.6473203313605,8.22913767032644,224.549505827973
"75",1,"T2-OA2","Control","2",0.7562,32.8669637399378,11.6735292878815,355.175165562877
"76",1,"T2-OA2","Control","2",0.4495,32.8669637399378,9.08723853747792,276.485488875131
"77",1,"T2-OA3","Control","2",0.6816,32.3887673669891,11.2204116220956,346.429102872607
"78",1,"T2-OA3","Control","2",0.362,32.3887673669891,7.88240495342195,243.368475993802
"79",1,"T2-OA4","OA","2",0.6924,32.2501722159192,11.2915995020448,350.125246663676
"80",1,"T2-OA4","OA","2",0.3883,32.2501722159192,8.27389745190455,256.553589745496
"81",1,"T2-OA5","OA","2",0.6604,35.4631742237141,11.0746956470609,312.287207490167
"82",1,"T2-OA5","OA","2",0.3274,35.4631742237141,7.32464934022196,206.54240632876
"83",1,"T2-OA6","OA","2",0.6527,38.6086849785855,11.0197410887197,285.421300798819
"84",1,"T2-OA6","OA","2",0.3391,38.6086849785855,7.51892122944694,194.746887484444
"85",1,"T3-A1","Control","3",0.4041,36.1980627293728,8.49648166538705,234.721999597305
"86",1,"T3-A1","Control","3",0.7305,36.1980627293728,11.527288733453,318.450432544812
"87",1,"T3-A2","Control","3",0.4802,26.9434034953736,9.44881089056434,350.691065892502
"88",1,"T3-A2","Control","3",0.7859,26.9434034953736,11.8307464322909,439.096212708329
"89",1,"T3-A3","Control","3",0.3971,18.4012159200147,8.39900068950041,456.437266211575
"90",1,"T3-A3","Control","3",0.7994,18.4012159200147,11.8982755611787,646.602681741108
"91",1,"T3-A4","OA","3",0.3996,34.6632558610723,8.43402008236696,243.312980066554
"92",1,"T3-A4","OA","3",0.7769,34.6632558610723,11.7843859813391,339.967659950063
"93",1,"T3-A5","OA","3",0.4833,33.8835264188508,9.48373574854099,279.892229377424
"94",1,"T3-A5","OA","3",0.8439,33.8835264188508,12.1047404340027,357.245591393592
"95",1,"T3-A6","OA","3",0.4071,38.4763505100498,8.53771675274712,221.895180794684
"96",1,"T3-A6","OA","3",0.7222,38.4763505100498,11.4779234144972,298.311125206619
"97",2,"T3-HW1",NA,"3",0.3318,24.7773679720247,7.39840617438065,298.59532226078
"98",2,"T3-HW1",NA,"3",0.2159,24.7773679720247,5.14249728556462,207.548166188226
"99",2,"T3-HW2",NA,"3",0.3624,34.9586455341695,7.88856282763618,225.654132392678
"100",2,"T3-HW2",NA,"3",0.2513,34.9586455341695,5.90526567057768,168.921466502635
"101",2,"T3-HW3",NA,"3",0.3029,32.7800371509253,6.89809219896556,210.435765133684
"102",2,"T3-HW3",NA,"3",0.234,32.7800371509253,5.54130632153638,169.045150742911
"103",2,"T3-HW4",NA,"3",0.3438,30.1588032856017,7.59530603513379,251.843747353195
"104",2,"T3-HW4",NA,"3",0.2439,30.1588032856017,5.75159400441767,190.710286145988
"105",2,"T3-HW5",NA,"3",0.3208,29.2906631613763,7.21241264696812,246.235894599979
"106",2,"T3-HW5",NA,"3",0.2242,29.2906631613763,5.32771835039142,181.891352921525
"107",2,"T3-HW6",NA,"3",0.2891,31.3126894845977,6.64553460143941,212.231357664383
"108",2,"T3-HW6",NA,"3",0.2052,31.3126894845977,4.89771667077339,156.413158734976
"109",2,"T3-OA1","Control","3",0.1816,32.6234652460285,4.33302398016967,132.819243679123
"110",2,"T3-OA1","Control","3",0.3016,32.6234652460285,6.87468699808192,210.728288556619
"111",2,"T3-OA2","Control","3",0.1913,38.28535272165,4.56934250839226,119.349625471998
"112",2,"T3-OA2","Control","3",0.3075,38.28535272165,6.98027543380849,182.322348825096
"113",2,"T3-OA3","Control","3",0.2342,24.9602375646483,5.54560859126143,222.177716734386
"114",2,"T3-OA3","Control","3",0.3757,24.9602375646483,8.0896918282868,324.103158366745
"115",2,"T3-OA4","OA","3",0.2412,29.2973253859711,5.6947809780317,194.378869163211
"116",2,"T3-OA4","OA","3",0.3008,29.2973253859711,6.8602442500143,234.159403960448
"117",2,"T3-OA5","OA","3",0.2009,35.8894504930032,4.7974037928565,133.671698144049
"118",2,"T3-OA5","OA","3",0.2618,35.8894504930032,6.11827897641026,170.475693897933
"119",2,"T3-OA6","OA","3",0.2177,36.1041375600084,5.18300735463609,143.557157293162
"120",2,"T3-OA6","OA","3",0.2863,36.1041375600084,6.59317081039199,182.615380285252
